job_title,job_description,required_skills,preferred_skills
Software Development Engineer,"We are seeking a Software Development Engineer to design develop test debug and maintain scalable software applications. The candidate should have strong programming fundamentals and practical experience with Java Python or C++. Strong knowledge of Data Structures and Algorithms Object Oriented Programming Database Management Systems Operating Systems and Computer Networks is expected. Responsibilities include designing software components implementing efficient algorithms writing maintainable code participating in code reviews debugging production issues and developing REST APIs. Experience with SQL relational databases Git Linux and software development lifecycle practices is required. Candidates with experience in Spring Boot backend development Docker AWS or other cloud platforms will be preferred. Knowledge of distributed systems microservices system design and CI/CD is an advantage.","Java|Python|C++|Data Structures|Algorithms|Object Oriented Programming|Database Management Systems|Operating Systems|Computer Networks|REST APIs|SQL|Git|Linux","Spring Boot|Backend Development|Docker|AWS|Distributed Systems|Microservices|System Design|CI/CD"
Backend Software Engineer,"We are looking for a Backend Software Engineer to develop scalable APIs services and backend systems. Strong programming skills in Java Python or Node.js and knowledge of Object Oriented Programming Data Structures Algorithms SQL and Database Management Systems are required. Experience with REST APIs microservices authentication caching and asynchronous processing is preferred. Candidates should have hands-on experience with Spring Boot FastAPI Flask Express.js PostgreSQL MySQL or MongoDB. Experience with Docker Kubernetes Git Linux and AWS is highly desirable. Responsibilities include designing backend services optimizing database queries implementing business logic writing unit tests debugging production issues and maintaining reliable APIs.","Java|Python|Node.js|Object Oriented Programming|Data Structures|Algorithms|SQL|Database Management Systems|REST APIs","Microservices|Authentication|Caching|Asynchronous Processing|Spring Boot|FastAPI|Flask|Express.js|PostgreSQL|MySQL|MongoDB|Docker|Kubernetes|Git|Linux|AWS"
Java Software Engineer,"We are seeking a Java Software Engineer with strong experience in Java Object Oriented Programming Data Structures Algorithms and backend development. The candidate should understand inheritance polymorphism abstraction encapsulation collections exception handling multithreading and Java application architecture. Experience with Spring Boot REST APIs microservices SQL and relational databases is required. Knowledge of MySQL PostgreSQL Hibernate Maven and Git is preferred. Responsibilities include designing backend services implementing business requirements writing clean maintainable Java code developing APIs debugging applications and improving system performance. Experience with Docker Kubernetes AWS Linux and CI/CD pipelines is an advantage.","Java|Object Oriented Programming|Data Structures|Algorithms|Inheritance|Polymorphism|Abstraction|Encapsulation|Collections|Exception Handling|Multithreading|Spring Boot|REST APIs|Microservices|SQL|Relational Databases","MySQL|PostgreSQL|Hibernate|Maven|Git|Docker|Kubernetes|AWS|Linux|CI/CD"
Python Software Engineer,"We are looking for a Python Software Engineer to build reliable backend services automation tools and data-driven applications. Strong Python programming skills and knowledge of Object Oriented Programming Data Structures Algorithms and software engineering principles are required. Experience with FastAPI Flask REST APIs SQL PostgreSQL MySQL and Git is preferred. Candidates with experience in Pandas NumPy automation scripting Docker Linux and AWS will have an advantage.","Python|Object Oriented Programming|Data Structures|Algorithms|Software Engineering","FastAPI|Flask|REST APIs|SQL|PostgreSQL|MySQL|Git|Pandas|NumPy|Automation|Docker|Linux|AWS"
Full Stack Developer,"We are looking for a Full Stack Developer to design develop and maintain web applications across frontend and backend systems. Candidates should have experience with JavaScript TypeScript React.js HTML CSS and modern frontend development practices. Backend experience with Node.js Java Python or REST APIs is preferred. Strong understanding of SQL databases PostgreSQL MySQL or MongoDB and Git is required.","JavaScript|TypeScript|React.js|HTML|CSS|SQL|Git","Node.js|Java|Python|REST APIs|PostgreSQL|MySQL|MongoDB|Docker|AWS|CI/CD|Authentication"
Frontend Engineer,"We are seeking a Frontend Engineer to build responsive accessible and high-performance web applications. Strong knowledge of JavaScript TypeScript React.js HTML CSS and modern frontend development is required. Experience with React hooks state management REST APIs Git and browser debugging tools is preferred.","JavaScript|TypeScript|React.js|HTML|CSS","React Hooks|State Management|REST APIs|Git|Next.js|Redux|Testing|Frontend Performance|Docker|Cloud Deployment|CI/CD"
Data Scientist,"We are looking for a Data Scientist to analyze large datasets and develop predictive models that support business decisions. Strong Python SQL Pandas NumPy and Scikit-learn experience is required. Candidates should understand statistics probability exploratory data analysis feature engineering supervised learning unsupervised learning regression classification clustering ensemble methods and model evaluation.","Python|SQL|Pandas|NumPy|Scikit-learn|Statistics|Probability|Exploratory Data Analysis|Feature Engineering|Supervised Learning|Unsupervised Learning|Model Evaluation","Regression|Classification|Clustering|Ensemble Methods|Random Forest|XGBoost|TensorFlow|PyTorch|Data Visualization|ETL|Spark|PySpark"
Data Analyst,"We are seeking a Data Analyst to transform business data into actionable insights. Strong SQL Python Excel and data analysis skills are required. Experience with Pandas NumPy Power BI Tableau or other visualization tools is preferred. Knowledge of statistics exploratory data analysis hypothesis testing and database management is expected.","SQL|Python|Excel|Data Analysis|Statistics|Database Management","Pandas|NumPy|Power BI|Tableau|Data Visualization|Exploratory Data Analysis|Hypothesis Testing|MySQL|PostgreSQL|ETL|Machine Learning"
Machine Learning Engineer,"We are seeking a Machine Learning Engineer to design train evaluate and deploy machine learning models for real-world applications. Strong Python machine learning and deep learning knowledge is required. Experience with Scikit-learn PyTorch TensorFlow Pandas and NumPy is expected. Candidates should understand supervised learning unsupervised learning feature engineering model evaluation optimization and ML pipelines.","Python|Machine Learning|Deep Learning|Scikit-learn|PyTorch|TensorFlow|Pandas|NumPy|Supervised Learning|Unsupervised Learning|Feature Engineering|Model Evaluation","Optimization|ML Pipelines|Natural Language Processing|Computer Vision|Neural Networks|Generative AI|Docker|Git|AWS|FastAPI|MLOps"
AI Engineer,"We are looking for an AI Engineer to develop intelligent applications using machine learning deep learning and Generative AI. Strong Python skills and experience with machine learning Natural Language Processing and Large Language Models are required. Experience with PyTorch TensorFlow Scikit-learn LangChain Retrieval-Augmented Generation embeddings vector databases and prompt engineering is highly desirable.","Python|Machine Learning|Deep Learning|Natural Language Processing|Large Language Models","PyTorch|TensorFlow|Scikit-learn|LangChain|Retrieval-Augmented Generation|Embeddings|Vector Databases|Prompt Engineering|FastAPI|Flask|Docker|Git|AWS"
