resume_id,resume_text,job_title,job_description,expected_job
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Cybersecurity Analyst,Monitor security using cybersecurity network security SIEM Splunk vulnerability assessment incident response threat detection firewalls IDS IPS and Wireshark.,Software Development Engineer
R1,Java Python C++ DSA OOP SQL REST APIs Git Linux system design backend,Python Software Engineer,Build Python applications and backend services using Python OOP REST APIs SQL Git FastAPI Flask PostgreSQL Docker and AWS.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Software Development Engineer,Develop scalable software using Java Python C++ DSA OOP SQL REST APIs Git Linux. System design Docker cloud and CI/CD preferred.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,AI Engineer,Build AI solutions using Python machine learning deep learning TensorFlow PyTorch NLP computer vision model training and evaluation. Transformers preferred.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Machine Learning Engineer,Develop ML models using Python supervised and unsupervised learning feature engineering scikit learn TensorFlow PyTorch and model evaluation. MLOps preferred.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Data Scientist,Analyze data using Python statistics machine learning pandas NumPy SQL feature engineering model evaluation and visualization.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Data Engineer,Build data pipelines using Python SQL ETL Spark PySpark Hadoop HDFS Airflow and data warehouses. AWS and Docker preferred.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Computer Vision Engineer,Develop computer vision systems using Python OpenCV CNN image classification object detection image segmentation and PyTorch or TensorFlow.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,Generative AI Engineer,Build GenAI applications using Python LLMs transformers RAG embeddings vector databases Hugging Face NLP and prompt engineering.,Software Development Engineer
R2,Java C++ algorithms data structures OOP SQL Git REST APIs Linux Docker,DevOps Engineer,Automate infrastructure using Linux Git Docker Kubernetes CI/CD AWS Jenkins monitoring scripting and Terraform.,Software Development Engineer
